Area,Fine without high winds,Other,Raining without high winds,Snowing without high winds,Fine with high winds,Raining with high winds,Unknown,Snowing with high winds,Fog or mist,Total
Greater London,123679,1565,14567,743,876,905,1366,78,202,20302
Surrey,18373,726,2771,162,180,277,1220,20,117,5473
Essex,16388,753,2385,185,174,200,112,19,169,3997
Kent,22903,671,3345,227,408,491,1072,72,225,6511
Hertfordshire,12985,608,1977,174,162,179,191,18,83,3392
North Yorkshire,7073,157,780,123,133,98,68,33,87,1479
Lancashire,16144,420,2477,184,219,359,230,26,79,3994
Manchester,7446,168,1467,72,95,140,570,12,15,2539
Hampshire,16577,209,2415,102,208,339,50,19,90,3432
Devon,9256,248,1446,50,164,254,101,20,75,2358
